salesheader_key,sales_order_id,customer_key,territory_key,salesperson_key,shipmethod_key,order_date_key,ship_date_key,due_date_key,subtotal,tax_amount,freight,total_due,days_to_ship,online_order_flag,order_number
1,43659,6135,5,6,5,20110531,20110607,20110612,20565.6206,1971.5149,616.0984,23153.2339,7,false,SO43659
2,43660,3074,5,6,5,20110531,20110607,20110612,1294.2529,124.2483,38.8276,1457.3288,7,false,SO43660
3,43661,3987,6,9,5,20110531,20110607,20110612,32726.4786,3153.7696,985.553,36865.8012,7,false,SO43661
4,43662,9795,6,9,5,20110531,20110607,20110612,28832.5289,2775.1646,867.2389,32474.9324,7,false,SO43662
5,43663,1365,4,3,5,20110531,20110607,20110612,419.4589,40.2681,12.5838,472.3108,7,false,SO43663
6,43664,7720,1,7,5,20110531,20110607,20110612,24432.6088,2344.9921,732.81,27510.4109,7,false,SO43664
7,43665,1561,1,10,5,20110531,20110607,20110612,14352.7713,1375.9427,429.9821,16158.6961,7,false,SO43665
8,43666,16232,4,3,5,20110531,20110607,20110612,5056.4896,486.3747,151.9921,5694.8564,7,false,SO43666
9,43667,9247,3,4,5,20110531,20110607,20110612,6107.082,586.1203,183.1626,6876.3649,7,false,SO43667
10,43668,2096,6,9,5,20110531,20110607,20110612,35944.1562,3461.7654,1081.8017,40487.7233,7,false,SO43668
11,43669,4079,1,10,5,20110531,20110607,20110612,714.7043,70.5175,22.0367,807.2585,7,false,SO43669
12,43670,1366,3,2,5,20110531,20110607,20110612,6122.082,587.5603,183.6126,6893.2549,7,false,SO43670
13,43671,7641,1,10,5,20110531,20110607,20110612,8128.7876,780.8136,244.0042,9153.6054,7,false,SO43671
14,43672,16486,6,9,5,20110531,20110607,20110612,6124.182,587.6023,183.6257,6895.41,7,false,SO43672
15,43673,6535,2,2,5,20110531,20110607,20110612,3746.2015,357.9614,111.8629,4216.0258,7,false,SO43673
16,43674,1771,6,9,5,20110531,20110607,20110612,2624.382,251.9407,78.7315,2955.0542,7,false,SO43674
17,43675,6254,3,4,5,20110531,20110607,20110612,5716.3102,546.8759,170.8987,6434.0848,7,false,SO43675
18,43676,5876,5,2,5,20110531,20110607,20110612,14203.458,1363.266,426.0206,15992.7446,7,false,SO43676
19,43677,6132,6,5,5,20110531,20110607,20110612,7793.1108,747.1011,233.4691,8773.681,7,false,SO43677
20,43678,7635,4,8,5,20110531,20110607,20110612,9799.9243,942.074,294.3981,11036.3964,7,false,SO43678
21,43679,4426,6,5,5,20110531,20110607,20110612,1316.0575,125.8032,39.3135,1481.1742,7,false,SO43679
22,43680,32,4,8,5,20110531,20110607,20110612,11397.4992,1093.6394,341.7623,12832.9009,7,false,SO43680
23,43681,2785,5,6,5,20110531,20110607,20110612,13787.5434,1323.0668,413.4584,15524.0686,7,false,SO43681
